.000,23644.000
31530.000,0.000,31314.000
32419.000,0.000,30946.000
32616.000,0.000,29411.000
32837.000,0.000,29574.000
36853.000,0.000,32484.000
39287.000,0.000,32666.000
38760.000,0.000,33657.000
38785.000,0.000,38992.000
39310.000,0.000,39744.000
36059.000,0.000,38204.000
32329.000,0.000,38050.000
32097.000,0.000,37846.000
31587.000,0.000,34783.000
29494.000,0.000,32225.000
29167.000,0.000,32164.000
31246.000,0.000,31912.000
31407.000,0.000,31171.000
31177.000,0.000,30899.000
32129.000,0.000,31479.000
32611.000,0.000,30116.000
32630.000,0.000,29171.000
35396.000,0.000,31961.000
38500.000,0.000,32592.000
39369.000,0.000,32717.000
38035.000,0.000,37175.000
39049.000,0.000,39461.000
37870.000,0.000,38632.000
32455.000,0.000,37469.000
32110.000,0.000,38015.000
32171.000,0.000,36494.000
29841.000,0.000,32461.000
29162.000,0.000,32201.000
30437.000,0.000,32086.000
31526.000,0.000,31460.000
31072.000,0.000,30759.000
31827.000,0.000,31498.000
32462.000,0.000,30585.000
32625.000,0.000,29119.000
33513.000,0.000,30270.000
37426.000,0.000,32521.000
39256.000,0.000,32623.000
38519.000,0.000,34723.000
38911.000,0.000,39143.000
38930.000,0.000,39460.000
34498.000,0.000,37760.000
32194.000,0.000,38178.000
32112.000,0.000,37513.000
31029.000,0.000,33579.000
29386.000,0.000,32175.000
29550.000,0.000,32174.000
31520.000,0.000,31737.000
31260.000,0.000,30944.000
31199.000,0.000,30942.000
32295.000,0.000,31275.000
32666.000,0.000,29800.000
32709.000,0.000,29352.000
36173.000,0.000,32370.000
38855.000,0.000,32603.000
38940.000,0.000,33019.000
38371.000,0.000,38406.000
39334.000,0.000,39720.000
37045.000,0.000,38405.000
32304.000,0.000,37860.000
32125.000,0.000,37959.000
31960.000,0.000,35582.000
29630.000,0.000,32296.000
29026.000,0.000,32161.000
30842.000,0.000,32089.000
31537.000,0.000,31362.000
31044.000,0.000,30771.000
32067.000,0.000,31596.000
32538.000,0.000,30400.000
32599.000,0.000,29135.000
34482.000,0.000,31285.000
38031.000,0.000,32572.000
39359.000,0.000,32685.000
38033.000,0.000,35856.000
39098.000,0.000,39446.000
38461.000,0.000,38937.000
33041.000,0.000,37443.000
32150.000,0.000,38129.000
32136.000,0.000,37255.000
30337.000,0.000,32753.000
29355.000,0.000,32164.000
29951.000,0.000,32145.000
31615.000,0.000,31666.000
31203.000,0.000,31066.000
31594.000,0.000,31357.000
32374.000,0.000,30908.000
32566.000,0.000,29379.000
32895.000,0.000,29675.000
37028.000,0.000,32491.000
39271.000,0.000,32606.000
38737.000,0.000,33843.000
38865.000,0.000,39045.000
39244.000,0.000,39796.000
35871.000,0.000,38122.000
32219.000,0.000,38038.000
32117.000,0.000,37787.000
31476.000,0.000,34663.000
29491.000,0.000,32189.000
29205.000,0.000,32147.000
31361.000,0.000,31903.000
31366.000,0.000,31152.000
31228.000,0.000,30932.000
32196.000,0.000,31464.000
32581.000,0.000,30061.000
32596.000,0.000,29216.000
35607.000,0.000,32132.000
38520.000,0.000,32615.000
39268.000,0.000,32701.000
37980.000,0.000,37475.000
38992.000,0.000,39464.000
37771.000,0.000,38579.000
32397.000,0.000,37522.000
32055.000,0.000,37932.000
32140.000,0.000,36334.000
29888.000,0.000,32436.000
29152.000,0.000,32169.000
30531.000,0.000,32156.000
31502.000,0.000,31430.000
31071.000,0.000,30781.000
31887.000,0.000,31536.000
32437.000,0.000,30476.000
32610.000,0.000,29012.000
33595.000,0.000,30359.000
37536.000,0.000,32548.000
39267.000,0.000,32642.000
38459.000,0.000,34950.000
38994.000,0.000,39257.000
38936.000,0.000,39360.000
34223.000,0.000,37676.000
32156.000,0.000,38172.000
32150.000,0.000,37456.000
30843.000,0.000,33373.000
29327.000,0.000,32154.000
29597.000,0.000,32154.000
31560.000,0.000,31684.000
31213.000,0.000,30915.000
31238.000,0.000,30953.000
32312.000,0.000,31184.000
32639.000,0.000,29836.000
32671.000,0.000,29415.000
36306.000,0.000,32350.000
38810.000,0.000,32575.000
38857.000,0.000,33108.000
38411.000,0.000,38548.000
39286.000,0.000,39697.000
36889.000,0.000,38325.000
32276.000,0.000,37875.000
32085.000,0.000,37904.000
31941.000,0.000,35481.000
29608.000,0.000,32269.000
29021.000,0.000,32214.000
30926.000,0.000,32083.000
31465.000,0.000,31311.000
31112.000,0.000,30729.000
32252.000,0.000,31554.000
32548.000,0.000,30354.000
32577.000,0.000,29144.000
34710.000,0.000,31367.000
38118.000,0.000,32567.000
39347.000,0.000,32648.000
38067.000,0.000,36179.000
39126.000,0.000,39511.000
38368.000,0.000,38877.000
32690.000,0.000,37446.000
32114.000,0.000,38169.000
32107.000,0.000,37122.000
30139.000,0.000,32661.000
29294.000,0.000,32187.000
30023.000,0.000,32145.000
31577.000,0.000,31623.000
31172.000,0.000,30796.000
31683.000,0.000,31418.000
32410.000,0.000,30873.000
32598.000,0.000,29322.000
33046.000,0.000,29826.000
37133.000,0.000,32518.000
39292.000,0.000,32647.000
38625.000,0.000,34107.000
38907.000,0.000,39150.000
39204.000,0.000,39715.000
35525.000,0.000,38051.000
32200.000,0.000,38052.000
32105.000,0.000,37726.000
31319.000,0.000,34300.000
29447.000,0.000,32226.000
29242.000,0.000,32214.000
31351.000,0.000,31832.000
31347.000,0.000,31146.000
31243.000,0.000,30967.000
32208.000,0.000,31424.000
32558.000,0.000,29965.000
32620.000,0.000,29160.000
35743.000,0.000,32206.000
38725.000,0.000,32594.000
39229.000,0.000,32736.000
37986.000,0.000,37787.000
39054.000,0.000,39484.000
37520.000,0.000,38532.000
32394.000,0.000,37618.000
32079.000,0.000,37919.000
32156.000,0.000,36157.000
29755.000,0.000,32389.000
29155.000,0.000,32205.000
30700.000,0.000,32161.000
31455.000,0.000,31374.000
31060.000,0.000,30709.000
31959.000,0.000,31535.000
